,model_id,gene_symbol,rsem_tpm,z_score,gene_expression_level
6712225,SIDM00910,RUNX2,4.0233,1.7675646876029962,high
6712253,SIDM00920,RUNX2,0.3103,-1.0447857909576475,low
6712313,SIDM00337,RUNX2,1.4114,-0.2107757958207971,normal
6712351,SIDM01059,RUNX2,2.4114,0.5466576753778681,normal
6712433,SIDM00881,RUNX2,1.5705,-0.09026813055308948,normal
6712569,SIDM00795,RUNX2,1.3951,-0.22312196140133536,normal
6712595,SIDM00524,RUNX2,2.4751,0.594906187493223,normal
6880023,SIDM00892,BMP2,0.0286,-0.6551337147160821,normal
6880086,SIDM01056,BMP2,0.0286,-0.6551337147160821,normal
6880088,SIDM00716,BMP2,0.0976,-0.6064277886645462,normal
6880092,SIDM00284,BMP2,0.0426,-0.6452513529085241,normal
6880104,SIDM00870,BMP2,0.0286,-0.6551337147160821,normal
6880121,SIDM00890,BMP2,0.0704,-0.6256278058906589,normal
6880229,SIDM01001,BMP2,0.0286,-0.6551337147160821,normal
6880386,SIDM00568,BMP2,2.3132,0.9575265556801337,normal
6880577,SIDM01066,BMP2,0.5753,-0.269227486130942,normal
6880607,SIDM00506,BMP2,1.269,0.22044354143355707,normal
6880645,SIDM00910,BMP2,1.4383,0.33994953100638353,normal
6880673,SIDM00920,BMP2,0.0,-0.6753219681229505,normal
6880733,SIDM00337,BMP2,0.0841,-0.6159572089789772,normal
6880771,SIDM01059,BMP2,0.0,-0.6753219681229505,normal
6880853,SIDM00881,BMP2,0.0426,-0.6452513529085241,normal
6880989,SIDM00795,BMP2,2.4114,1.0268442649302905,high
6881015,SIDM00524,BMP2,1.7004,0.5249614617035945,normal
7255359,SIDM00892,SMO,0.0976,-1.1759134656320598,low
7255422,SIDM01056,SMO,3.2141,0.49562727918482746,normal
7255424,SIDM00716,SMO,1.5008,-0.42330445772990805,normal
7255428,SIDM00284,SMO,4.1985,1.0236121048539255,high
7255440,SIDM00870,SMO,0.0426,-1.2054128209874035,low
7255457,SIDM00890,SMO,3.1795,0.4770695029067384,normal
7255565,SIDM01001,SMO,0.0566,-1.1979038941696798,low
7255722,SIDM00568,SMO,0.4647,-0.9790186774330291,normal
7255913,SIDM01066,SMO,4.5416,1.2076344470797151,high
7255943,SIDM00506,SMO,0.7398,-0.8314682654647552,normal
7255981,SIDM00910,SMO,4.6559,1.268939471027275,high
7256009,SIDM00920,SMO,0.1243,-1.1615928694868294,low
7256069,SIDM00337,SMO,4.2861,1.0705965326562548,high
7256107,SIDM01059,SMO,3.2898,0.5362291191920915,normal
7256189,SIDM00881,SMO,0.5261,-0.9460866698181545,normal
7256325,SIDM00795,SMO,3.7452,0.7804837815343377,normal
7256351,SIDM00524,SMO,3.8094,0.8149175745127571,normal
7380471,SIDM00892,FOXA1,7.6966,1.337358468032071,high
7380534,SIDM01056,FOXA1,7.1874,1.1761559823877035,high
7380536,SIDM00716,FOXA1,6.3654,0.9159273036766471,normal
7380540,SIDM00284,FOXA1,0.5558,-0.923275289802372,normal
7380552,SIDM00870,FOXA1,7.3596,1.23067104135856,high
7380569,SIDM00890,FOXA1,0.3785,-0.9794049062688809,normal
7380677,SIDM01001,FOXA1,3.0721,-0.12666528464345309,normal
7380834,SIDM00568,FOXA1,4.3363,0.2735550263377118,normal
7381025,SIDM01066,FOXA1,0.189,-1.0393967975289116,low
7381055,SIDM00506,FOXA1,5.3809,0.604254391035485,normal
7381093,SIDM00910,FOXA1,0.0704,-1.0769431738003608,low
7381121,SIDM00920,FOXA1,7.5584,1.293607125698898,high
7381181,SIDM00337,FOXA1,0.0704,-1.0769431738003608,low
7381219,SIDM01059,FOXA1,0.0704,-1.0769431738003608,low
7381301,SIDM00881,FOXA1,6.286,0.8907908595286446,normal
7381437,SIDM00795,FOXA1,0.4005,-0.9724401484444973,normal
7381463,SIDM00524,FOXA1,5.5981,0.6730155455562167,normal
7667988,SIDM00892,COX4I2,0.0,-0.30794052208691924,normal
7668051,SIDM01056,COX4I2,0.0,-0.30794052208691924,normal
7668053,SIDM00716,COX4I2,0.0,-0.30794052208691924,normal
7668057,SIDM00284,COX4I2,0.0,-0.30794052208691924,normal
7668069,SIDM00870,COX4I2,0.0,-0.30794052208691924,normal
7668086,SIDM00890,COX4I2,0.0,-0.30794052208691924,normal
7668194,SIDM01001,COX4I2,0.0,-0.30794052208691924,normal
7668351,SIDM00568,COX4I2,0.0,-0.30794052208691924,normal
7668542,SIDM01066,COX4I2,0.0,-0.30794052208691924,normal
7668572,SIDM00506,COX4I2,0.0,-0.30794052208691924,normal
7668610,SIDM00910,COX4I2,0.0,-0.30794052208691924,normal
7668638,SIDM00920,COX4I2,0.0,-0.30794052208691924,normal
7668698,SIDM00337,COX4I2,0.0,-0.30794052208691924,normal
7668736,SIDM01059,COX4I2,0.0,-0.30794052208691924,normal
7668818,SIDM00881,COX4I2,0.0,-0.30794052208691924,normal
7668954,SIDM00795,COX4I2,0.0,-0.30794052208691924,normal
7668980,SIDM00524,COX4I2,0.0,-0.30794052208691924,normal
8197308,SIDM00892,VHL,4.8374,-0.1927251426863698,normal
8197371,SIDM01056,VHL,5.0444,0.12441137301820057,normal
8197373,SIDM00716,VHL,4.292,-1.0283109188471042,low
8197377,SIDM00284,VHL,4.0488,-1.4009080232884144,low
